Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter Lower,Planetary Radius,Stellar Effective Temperature,Stellar Surface Gravity Lower,Disposition Using Kepler Data
1.0,0,0,0,0,-0.478,3.2,5121.0,-0.039,0
1.0,0,0,0,0,-0.602,1.78,5121.0,-0.039,0
1.0,0,0,0,0,-0.655,2.66,6007.0,-0.202,0
0.0,0,1,1,1,-0.008,4.68,5811.0,-0.221,1
1.0,0,0,0,0,-0.492,4.53,5067.0,-0.048,0
0.0,0,1,0,0,-0.023,21.58,5209.0,-0.032,1
0.997,0,0,0,0,-0.001,12.04,4820.0,-0.063,0
1.0,0,0,0,0,-0.049,4.16,5097.0,-0.085,0
1.0,0,0,0,0,0.0,3.13,5644.0,-0.03,0
0.0,0,0,0,0,-0.44,2.92,5097.0,-0.085,0
1.0,0,0,0,0,-0.252,1.74,5097.0,-0.085,0
1.0,0,0,0,0,-0.192,1.72,3713.0,-0.031,0
1.0,0,0,0,0,-0.014,1.29,3713.0,-0.031,0
0.986,0,0,0,0,-0.228,1.3,3713.0,-0.031,0
1.0,0,0,0,0,-0.477,2.45,5849.0,-0.208,0
0.0,0,1,0,0,-0.635,4.14,5472.0,-0.13,1
0.999,0,0,0,0,-0.069,10.51,5332.0,-0.036,0
1.0,0,0,0,0,-0.018,8.95,6214.0,-0.216,0
1.0,0,0,0,0,-0.586,3.52,6063.0,-0.208,0
0.635,0,0,0,0,-0.043,13.16,6823.0,-0.128,0
1.0,0,0,0,0,-0.033,4.87,3950.0,-0.085,0
0.966,0,0,0,0,-0.052,4.78,3960.0,-0.04,0
1.0,0,0,0,0,-0.181,6.96,5865.0,-0.168,0
1.0,0,0,0,0,-0.509,1.85,4500.0,-0.043,0
0.997,0,0,0,0,-0.063,1.9,4500.0,-0.043,0
0.415,0,0,0,0,-0.007,2.57,5869.0,-0.105,0
0.228,0,1,0,0,-0.028,10.95,5600.0,-0.204,1
1.0,0,0,0,0,-0.043,4.14,5191.0,-0.088,0
1.0,0,0,0,0,-0.03,2.96,5191.0,-0.088,0
1.0,0,0,0,0,-0.054,13.12,5855.0,-0.123,0
1.0,0,0,0,0,-0.09,2.23,3906.0,-0.024,0
1.0,0,0,0,0,-0.351,1.66,3906.0,-0.024,0
1.0,0,0,0,0,-0.02,2.48,5945.0,-0.027,0
1.0,0,0,0,0,-0.638,2.25,3906.0,-0.024,0
0.999,0,0,0,0,-0.334,1.16,3561.0,-0.055,0
0.999,0,0,0,0,-0.001,0.91,3561.0,-0.055,0
0.998,0,0,0,0,-0.115,1.11,3561.0,-0.055,0
1.0,0,0,0,0,-0.543,4.56,5942.0,-0.187,0
1.0,0,0,0,0,-0.667,2.85,6077.0,-0.18,0
0.999,0,0,0,0,-0.679,3.43,6077.0,-0.18,0
1.0,0,0,0,0,-0.21,2.34,4201.0,-0.072,0
1.0,0,0,0,0,-0.445,1.18,4201.0,-0.072,0
0.997,0,0,0,0,-0.076,10.55,5655.0,-0.152,0
1.0,0,0,0,0,-0.476,1.87,5662.0,-0.12,0
1.0,0,0,0,0,-0.045,1.85,4500.0,-0.043,0
1.0,0,0,0,0,-0.413,1.62,4500.0,-0.043,0
0.996,0,0,0,0,-0.473,1.75,4500.0,-0.043,0
0.0,0,0,1,0,-0.004,4.33,5865.0,-0.152,1
1.0,0,0,0,0,-0.255,2.47,5029.0,-0.027,0
