Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Transit Duration Upper,Transit Depth,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius Upper,Disposition Using Kepler Data
1.0,0,0,0,0,226.8904775,0.193,3140.0,5067.0,4.585,0.024,0.052,0
0.0,0,1,0,0,1.956811408,0.0257,24900.0,5209.0,4.657,0.063,0.037,1
0.997,0,0,0,0,2.688899233,0.00254,37500.0,4820.0,4.667,0.027,0.072,0
1.0,0,0,0,0,9.439459486,0.0188,3040.0,5097.0,4.597,0.025,0.093,0
1.0,0,0,0,0,11.52306746,0.0209,507.0,5644.0,4.162,0.033,0.091,0
0.0,0,0,0,0,20.47748843,0.0419,1380.0,5097.0,4.597,0.025,0.093,0
1.0,0,0,0,0,3.336123113,0.0333,516.0,5097.0,4.597,0.025,0.093,0
1.0,0,0,0,0,8.01078456,0.0336,1330.0,3713.0,4.779,0.063,0.036,0
1.0,0,0,0,0,12.07134205,0.0983,759.0,3713.0,4.779,0.063,0.036,0
0.986,0,0,0,0,20.99587872,0.0866,767.0,3713.0,4.779,0.063,0.036,0
1.0,0,0,0,0,7.41113177,0.0492,621.0,5849.0,4.517,0.039,0.289,0
0.0,0,1,0,0,1.000747038,0.0388,1820.0,5472.0,4.499,0.117,0.143,1
0.999,0,0,0,0,8.884922995,0.00709,16100.0,5332.0,4.5,0.05,0.045,0
1.0,0,0,0,0,8.09888906,0.00982,6910.0,6214.0,4.442,0.054,0.353,0
1.0,0,0,0,0,10.00653012,0.114,936.0,6063.0,4.47,0.052,0.318,0
0.635,0,0,0,0,17.85522168,0.00581,9070.0,6823.0,4.308,0.024,0.267,0
1.0,0,0,0,0,12.73262407,0.0432,6470.0,3950.0,4.721,0.104,0.107,0
0.966,0,0,0,0,83.92494032,0.0748,7960.0,3960.0,4.746,0.045,0.036,0
1.0,0,0,0,0,5.007316661,0.0248,6930.0,5865.0,4.563,0.042,0.208,0
1.0,0,0,0,0,2.211116989,0.0297,724.0,4500.0,4.656,0.013,0.043,0
0.997,0,0,0,0,27.9541337,0.138,943.0,4500.0,4.656,0.013,0.043,0
0.415,0,0,0,0,12.69104387,0.0452,252.0,5869.0,4.024,0.21,0.254,0
0.228,0,1,0,0,4.409409243,0.0468,12900.0,5600.0,4.368,0.185,0.271,1
1.0,0,0,0,0,16.23947096,0.0345,2590.0,5191.0,4.564,0.016,0.078,0
1.0,0,0,0,0,6.308201629,0.0323,1330.0,5191.0,4.564,0.016,0.078,0
1.0,0,0,0,0,2.052349884,0.0109,14300.0,5855.0,4.393,0.076,0.166,0
1.0,0,0,0,0,9.7704486,0.0443,1900.0,3906.0,4.73,0.052,0.032,0
1.0,0,0,0,0,5.169804269,0.0493,1040.0,3906.0,4.73,0.052,0.032,0
1.0,0,0,0,0,21.22261195,0.042,366.0,5945.0,4.213,0.033,0.058,0
1.0,0,0,0,0,20.09017037,0.154,1430.0,3906.0,4.73,0.052,0.032,0
0.999,0,0,0,0,7.11373257,0.0496,808.0,3561.0,4.855,0.055,0.045,0
0.999,0,0,0,0,3.306551643,0.0485,509.0,3561.0,4.855,0.055,0.045,0
0.998,0,0,0,0,15.36845737,0.069,756.0,3561.0,4.855,0.055,0.045,0
1.0,0,0,0,0,13.81020318,0.0635,1310.0,5942.0,4.327,0.136,0.333,0
1.0,0,0,0,0,4.093578461,0.063,539.0,6077.0,4.471,0.06,0.28,0
0.999,0,0,0,0,105.145959,0.446,685.0,6077.0,4.471,0.06,0.28,0
1.0,0,0,0,0,10.8484518,0.0431,1680.0,4201.0,4.682,0.088,0.109,0
1.0,0,0,0,0,6.66833241,0.132,362.0,4201.0,4.682,0.088,0.109,0
0.997,0,0,0,0,4.082274889,0.00288,17900.0,5655.0,4.581,0.038,0.181,0
1.0,0,0,0,0,3.886655224,0.0604,582.0,5662.0,4.61,0.032,0.14,0
1.0,0,0,0,0,42.1406089,0.155,896.0,4500.0,4.656,0.013,0.043,0
1.0,0,0,0,0,4.617490562,0.0477,576.0,4500.0,4.656,0.013,0.043,0
0.996,0,0,0,0,10.19849255,0.0705,634.0,4500.0,4.656,0.013,0.043,0
0.0,0,0,1,0,5.795063956,0.0513,1690.0,5865.0,4.563,0.038,0.186,1
1.0,0,0,0,0,7.15681552,0.0463,867.0,5029.0,4.494,0.077,0.033,0
1.0,0,0,0,0,17.64830851,0.0752,763.0,5029.0,4.494,0.077,0.033,0
0.957,0,0,0,0,4.14810719,0.183,175.0,5029.0,4.494,0.077,0.033,0
1.0,0,0,0,0,16.51410989,0.0539,974.0,5527.0,4.488,0.075,0.089,0
1.0,0,0,0,0,30.1329298,0.113,1020.0,5527.0,4.488,0.075,0.089,0
1.0,0,0,0,0,4.79090809,0.11,251.0,5527.0,4.488,0.075,0.089,0
1.0,0,0,0,0,31.71981013,0.0498,363.0,5869.0,4.024,0.21,0.254,0
1.0,0,0,0,0,99.6415962,0.14,953.0,5527.0,4.488,0.075,0.089,0
1.0,0,0,0,0,4.708326451,0.00526,7910.0,5560.0,4.246,0.252,0.325,0
0.0,0,0,1,1,16.37198661,0.0654,4150.0,4187.0,4.656,0.056,0.043,1
1.0,0,0,0,0,5.392026903,0.0352,1150.0,5198.0,4.589,0.024,0.106,0
