Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Impact Parameter,Transit Duration Upper,Transit Duration Lower ,Planetary Radius Lower,Insolation Flux,TCE Delivery,Stellar Effective Temperature,Stellar Effective Temperature Lower,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius,Stellar Radius Lower,Kepler-band,Disposition Using Kepler Data
0.952,0,0,0,0,23.9800854,0.95,0.177,-0.177,-0.13,41.94,0.0,5854.0,-117.0,4.406,0.09,1.012,-0.103,12.882,0
0.994,0,0,0,0,7.82502168,0.708,0.12,-0.12,-0.1,14.05,0.0,3950.0,-86.0,4.754,0.042,0.493,-0.04,15.954,0
1.0,0,0,0,0,3.895936525,0.524,0.0302,-0.0302,-0.65,241.62,0.0,5557.0,-167.0,4.592,0.034,0.774,-0.069,15.725,0
0.999,0,0,0,0,22.36646466,0.4,0.122,-0.122,-0.16,19.45,0.0,5395.0,-160.0,4.615,0.032,0.734,-0.052,15.583,0
1.0,0,0,0,0,1.625522174,0.076,0.00338,-0.00338,-1.42,1467.41,0.0,5539.0,-74.0,4.322,0.137,1.106,-0.161,15.001,0
1.0,0,0,0,0,19.62034692,0.458,0.0292,-0.0292,-0.92,40.39,0.0,5710.0,-85.0,4.492,0.048,0.905,-0.061,15.562,0
0.0,1,0,1,0,7.544039,1.175,0.731,-0.731,-1.65,116.46,0.0,5657.0,-169.0,4.567,0.038,0.824,-0.078,15.559,1
1.0,0,0,0,0,9.02930689,0.024,0.0528,-0.0528,-0.26,77.75,0.0,5349.0,-167.0,4.526,0.063,0.82,-0.082,15.387,0
0.053,0,1,0,0,10.32803571,0.281,0.0272,-0.0272,-2.41,119.31,0.0,5627.0,-169.0,4.359,0.18,1.024,-0.186,15.646,1
1.0,0,0,0,0,143.2063047,0.379,0.0961,-0.0961,-0.38,2.14,0.0,5485.0,-120.0,4.556,0.014,0.867,-0.037,15.403,0
0.95,0,0,0,0,6.164876,0.646,0.186,-0.186,-0.08,256.35,0.0,5854.0,-117.0,4.406,0.09,1.012,-0.103,12.882,0
0.745,0,0,0,0,60.32494216,0.224,0.0327,-0.0327,-0.52,6.77,0.0,5485.0,-120.0,4.556,0.014,0.867,-0.037,15.403,0
1.292882983041325,0,0,0,0,29.1598615,0.3619,0.2,-0.2,-0.07,17.85,0.0,5485.0,-112.0,4.556,0.014,0.867,-0.034,15.403,0
0.0,0,0,1,1,1.540397253,1.225,0.0846,-0.0846,-2.33,1105.68,0.0,5663.0,-188.0,4.53,0.036,0.915,-0.083,15.974,1
0.0,0,0,1,1,2.99025443,0.014,0.113,-0.113,-0.15,168.45,0.0,4667.0,-154.0,4.578,0.048,0.731,-0.063,15.842,1
1.0,0,0,0,0,1.594745374,0.514,0.0106,-0.0106,-1.33,1329.42,0.0,5934.0,-178.0,4.491,0.065,0.893,-0.105,15.53,0
1.0,0,0,0,0,4.783002698,0.003,0.0332,-0.0332,-0.19,145.48,0.0,5170.0,-155.0,4.574,0.026,0.807,-0.06,15.119,0
1.0,0,0,0,0,20.50588921,0.26,0.0481,-0.0481,-0.31,17.06,0.0,4905.0,-148.0,4.544,0.072,0.761,-0.07,15.398,0
1.0,0,0,0,0,3.340218842,0.466,0.0318,-0.0318,-0.17,43.73,0.0,3950.0,-86.0,4.754,0.042,0.493,-0.04,15.954,0
0.0,0,1,1,0,2.507089906,1.255,0.0427,-0.0427,-3.19,730.47,0.0,5926.0,-226.0,4.506,0.054,0.939,-0.099,15.555,1
1.0,0,0,0,0,18.64932728,0.08,0.0687,-0.0687,-0.28,57.13,0.0,5775.0,-78.0,4.405,0.066,1.053,-0.094,15.386,0
1.0,0,0,0,0,4.90144976,0.529,0.0585,-0.0585,-0.05,598.74,0.0,5847.0,-75.0,4.191,0.02,1.402,-0.046,12.487,0
0.998,0,0,0,0,9.75192101,0.949,0.181,-0.181,-0.24,135.66,0.0,5775.0,-78.0,4.405,0.066,1.053,-0.094,15.386,0
1.0,0,0,0,0,38.5576546,0.911,0.199,-0.199,-0.36,21.71,0.0,5775.0,-78.0,4.405,0.066,1.053,-0.094,15.386,0
0.99,0,0,0,0,3.525632539,0.12,0.00079,-0.00079,-0.48,213.12,0.0,5150.0,-82.0,4.572,0.02,0.793,-0.033,15.224,0
1.0,0,0,0,0,34.84398644,0.934,0.0702,-0.0702,-0.91,16.1,0.0,5509.0,-166.0,4.482,0.081,0.871,-0.105,15.684,0
1.0,0,0,0,0,7.748094239,0.517,0.043,-0.043,-0.56,204.39,0.0,5973.0,-232.0,4.439,0.052,1.085,-0.111,15.67,0
1.0,0,0,0,0,23.96793669,0.416,0.113,-0.113,-0.15,2.77,0.0,3747.0,-83.0,4.728,0.042,0.524,-0.044,15.414,0
0.995,0,0,0,0,8.29561738,0.888,0.0773,-0.0773,-0.15,11.39,0.0,3747.0,-83.0,4.728,0.042,0.524,-0.044,15.414,0
1.0,0,0,0,0,8.11437482,0.573,0.0447,-0.0447,-0.16,10.55,0.0,3692.0,-83.0,4.753,0.032,0.517,-0.039,15.877,0
0.0,0,1,0,0,38.03672948,0.501,0.00645,-0.00645,-2.27,14.81,0.0,5575.0,-183.0,4.521,0.038,0.932,-0.077,15.472,1
0.0,0,0,0,0,4.64090031,1.28,0.274,-0.274,-3.14,421.08,0.0,6463.0,-205.0,4.5,0.087,0.826,-0.086,15.27,0
