Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter,mpact Parameter Upper,Impact Parameter Lower,Transit Duration Upper,Transit Depth Upper,Planetary Radius Lower,Equilibrium Temperature,Insolation Flux Lower ,TCE Planet Number,Stellar Effective Temperature,Stellar Effective Temperature Upper,Stellar Radius,Disposition Using Kepler Data
1.0,0,0,0,0,0.55,0.065,-0.128,0.0592,27.6,-0.73,753.0,-21.39,1.0,5795.0,156.0,0.919,0
0.0,0,1,0,0,1.268,5.652,-0.123,0.0232,20.4,-8.0,1920.0,-1136.62,1.0,6017.0,72.0,1.339,1
0.0,0,1,1,0,1.215,59.52,-0.463,0.121,26.4,-3.69,876.0,-46.77,1.0,5927.0,176.0,1.06,1
1.0,0,0,0,0,0.238,0.198,-0.238,0.0559,11.4,-0.28,1332.0,-212.44,1.0,5519.0,82.0,1.062,0
1.0,0,0,0,0,0.838,0.083,-0.589,0.0454,29.7,-0.15,812.0,-21.24,1.0,5653.0,166.0,0.679,0
0.0,0,1,1,1,1.258,0.334,-0.141,0.0115,45.9,-1.73,1836.0,-599.58,1.0,5255.0,156.0,0.636,1
1.0,0,0,0,0,0.92,0.007,-0.005,0.0331,53.2,-0.72,812.0,-28.91,1.0,5988.0,179.0,0.836,0
1.0,0,0,0,0,0.556,0.323,-0.368,0.0754,45.1,-0.16,361.0,-0.9,2.0,3950.0,70.0,0.493,0
1.0,0,0,0,0,0.013,0.415,-0.013,0.13,56.4,-0.15,273.0,-0.3,3.0,3950.0,70.0,0.493,0
0.952,0,0,0,0,0.95,0.004,-0.66,0.177,6.5,-0.13,649.0,-10.73,4.0,5854.0,105.0,1.012,0
0.994,0,0,0,0,0.708,0.234,-0.487,0.12,36.4,-0.1,494.0,-3.19,4.0,3950.0,70.0,0.493,0
1.0,0,0,0,0,0.524,0.069,-0.237,0.0302,29.5,-0.65,1005.0,-64.19,1.0,5557.0,167.0,0.774,0
0.999,0,0,0,0,0.4,0.066,-0.4,0.122,35.1,-0.16,536.0,-4.56,1.0,5395.0,160.0,0.734,0
1.0,0,0,0,0,0.076,0.022,-0.076,0.00338,11.8,-1.42,1579.0,-452.24,1.0,5539.0,83.0,1.106,0
1.0,0,0,0,0,0.458,0.08,-0.165,0.0292,85.0,-0.92,643.0,-7.31,1.0,5710.0,76.0,0.905,0
0.0,1,0,1,0,1.175,33.63,-0.911,0.731,28.2,-1.65,838.0,-31.91,2.0,5657.0,152.0,0.824,1
1.0,0,0,0,0,0.024,0.401,-0.024,0.0528,21.9,-0.26,757.0,-22.28,1.0,5349.0,167.0,0.82,0
0.053,0,1,0,0,0.281,0.04,-0.064,0.0272,31.8,-2.41,843.0,-48.58,1.0,5627.0,169.0,1.024,1
1.0,0,0,0,0,0.379,0.073,-0.273,0.0961,82.4,-0.38,308.0,-0.35,2.0,5485.0,98.0,0.867,0
0.95,0,0,0,0,0.646,0.323,-0.43,0.186,4.3,-0.08,1021.0,-65.57,3.0,5854.0,105.0,1.012,0
0.745,0,0,0,0,0.224,0.067,-0.146,0.0327,64.0,-0.52,411.0,-1.09,1.0,5485.0,98.0,0.867,0
1.292882983041325,0,0,0,0,0.3619,0.0945,-0.3618,0.2,43.5,-0.07,524.0,-2.68,3.0,5485.0,99.0,0.867,0
0.0,0,0,1,1,1.225,6.813,-0.101,0.0846,25.7,-2.33,1470.0,-306.98,1.0,5663.0,171.0,0.915,1
0.0,0,0,1,1,0.014,0.334,-0.014,0.113,14.1,-0.15,918.0,-45.45,1.0,4667.0,140.0,0.731,1
1.0,0,0,0,0,0.514,0.022,-0.037,0.0106,20.3,-1.33,1539.0,-412.98,1.0,5934.0,160.0,0.893,0
1.0,0,0,0,0,0.003,0.425,-0.003,0.0332,16.6,-0.19,886.0,-35.12,1.0,5170.0,155.0,0.807,0
1.0,0,0,0,0,0.26,0.151,-0.26,0.0481,31.0,-0.31,518.0,-4.61,1.0,4905.0,148.0,0.761,0
1.0,0,0,0,0,0.466,0.002,-0.437,0.0318,26.6,-0.17,656.0,-9.92,1.0,3950.0,70.0,0.493,0
0.0,0,1,1,0,1.255,16.5,-0.349,0.0427,24.7,-3.19,1326.0,-230.11,1.0,5926.0,184.0,0.939,1
1.0,0,0,0,0,0.08,0.329,-0.08,0.0687,20.9,-0.28,701.0,-12.26,1.0,5775.0,78.0,1.053,0
1.0,0,0,0,0,0.529,0.021,-0.46,0.0585,2.9,-0.05,1262.0,-66.83,3.0,5847.0,64.0,1.402,0
0.998,0,0,0,0,0.949,0.028,-0.673,0.181,16.2,-0.24,870.0,-29.09,3.0,5775.0,78.0,1.053,0
1.0,0,0,0,0,0.911,0.025,-0.663,0.199,26.8,-0.36,550.0,-4.66,2.0,5775.0,78.0,1.053,0
0.99,0,0,0,0,0.12,0.006,-0.084,0.00079,13.1,-0.48,975.0,-29.54,1.0,5150.0,82.0,0.793,0
1.0,0,0,0,0,0.934,0.575,-0.031,0.0702,82.5,-0.91,511.0,-5.08,1.0,5509.0,166.0,0.871,0
1.0,0,0,0,0,0.517,0.237,-0.325,0.043,25.7,-0.56,964.0,-63.82,1.0,5973.0,169.0,1.085,0
1.0,0,0,0,0,0.416,0.053,-0.416,0.113,46.1,-0.15,329.0,-0.64,1.0,3747.0,75.0,0.524,0
0.995,0,0,0,0,0.888,0.062,-0.612,0.0773,57.5,-0.15,469.0,-2.65,2.0,3747.0,75.0,0.524,0
1.0,0,0,0,0,0.573,0.0,-0.468,0.0447,32.0,-0.16,460.0,-2.31,1.0,3692.0,73.0,0.517,0
0.0,0,1,0,0,0.501,0.003,-0.005,0.00645,83.3,-2.27,500.0,-3.91,1.0,5575.0,166.0,0.932,1
0.0,0,0,0,0,1.28,0.098,-0.07,0.274,11.7,-3.14,1155.0,-124.0,1.0,6463.0,205.0,0.826,0
0.0,0,1,1,1,1.121,1.104,-0.035,0.0445,5.3,-1.04,1031.0,-62.76,1.0,5514.0,149.0,0.826,1
0.992,0,0,0,0,0.173,0.262,-0.173,0.044,4.2,-0.1,874.0,-15.39,1.0,5847.0,64.0,1.402,0
1.0,0,0,0,0,0.053,0.394,-0.053,0.091,35.8,-0.49,639.0,-13.85,1.0,5601.0,166.0,0.999,0
0.0,0,1,0,0,0.733,0.01,-0.011,0.0209,49.8,-0.87,814.0,-26.78,1.0,5690.0,154.0,0.776,1
0.789972056671793,0,0,0,0,1.5734,0.2599,-0.3164,0.034,127.0,-8.6,1947.0,-1109.02,1.0,6228.0,183.0,0.99,0
1.0,0,0,0,0,0.692,0.033,-0.066,0.0645,114.0,-0.82,600.0,-5.99,1.0,4986.0,79.0,0.833,0
1.0,0,0,0,0,0.047,0.409,-0.047,0.0635,24.5,-0.2,687.0,-14.35,1.0,4861.0,131.0,0.732,0
1.0,0,0,0,0,0.258,0.195,-0.258,0.103,22.0,-0.14,823.0,-29.57,2.0,4861.0,131.0,0.732,0
1.0,0,0,0,0,0.524,0.009,-0.46,0.0408,13.1,-0.21,914.0,-40.81,1.0,5776.0,155.0,0.849,0
0.037,0,0,1,0,0.941,0.017,-0.618,0.185,23.5,-0.44,1047.0,-90.93,1.0,6108.0,193.0,0.997,1
0.0,0,0,1,1,1.241,1.295,-0.135,0.0546,12.7,-2.47,1261.0,-162.49,1.0,5764.0,154.0,0.863,1
1.0,0,0,0,0,0.736,0.013,-0.024,0.0168,25.8,-0.99,1021.0,-76.86,1.0,5035.0,151.0,0.791,0
1.0,0,0,0,0,0.773,0.006,-0.543,0.0771,39.0,-0.18,610.0,-4.63,2.0,5251.0,105.0,0.817,0
0.998,0,0,0,0,0.706,0.237,-0.494,0.229,3.7,-0.04,1074.0,-35.07,4.0,5847.0,64.0,1.402,0
1.0,0,0,0,0,0.798,0.021,-0.043,0.102,48.4,-0.23,481.0,-1.79,1.0,5251.0,105.0,0.817,0
0.006,0,1,0,0,0.709,0.011,-0.015,0.0271,62.1,-1.19,1104.0,-97.69,1.0,5810.0,157.0,0.898,1
0.0,0,1,0,0,0.377,0.009,-0.009,0.00533,32.8,-1.87,796.0,-27.73,1.0,5670.0,169.0,0.821,1
0.0,0,1,0,0,1.276,6.027,-0.214,0.0267,25.2,-2.96,1133.0,-106.59,1.0,6046.0,182.0,0.869,1
0.999,0,0,0,0,0.008,0.169,-0.008,0.021,13.2,-1.52,731.0,-26.59,1.0,5739.0,114.0,1.384,0
0.996,0,0,0,0,0.014,0.399,-0.014,0.0875,10.8,-0.58,888.0,-57.65,2.0,5739.0,114.0,1.384,0
0.997,0,0,0,0,0.235,0.204,-0.235,0.0994,8.6,-0.45,1146.0,-159.95,3.0,5739.0,114.0,1.384,0
1.0,0,0,0,0,0.746,0.053,-0.521,0.106,6.4,-0.32,1642.0,-675.28,5.0,5739.0,114.0,1.384,0
0.995,0,0,0,0,0.196,0.242,-0.196,0.0558,2.7,-0.05,1458.0,-119.09,2.0,5847.0,64.0,1.402,0
0.989,0,0,0,0,0.379,0.111,-0.378,0.247,20.1,-0.51,568.0,-9.68,4.0,5739.0,114.0,1.384,0
1.0,0,0,0,0,0.048,0.393,-0.048,0.05,23.9,-0.08,616.0,-4.84,1.0,4959.0,99.0,0.756,0
0.878,0,0,0,0,0.7,0.208,-0.496,0.134,44.9,-0.09,366.0,-0.6,2.0,4959.0,99.0,0.756,0
0.0,0,1,1,1,1.178,5.685,-0.115,0.0817,29.9,-1.6,1010.0,-67.02,1.0,4794.0,130.0,0.701,1
1.0,0,0,0,0,0.3,0.145,-0.3,0.0595,25.3,-0.14,696.0,-10.12,1.0,4768.0,76.0,0.779,0
1.0,0,0,0,0,0.004,0.471,-0.003,0.0984,19.8,-0.09,864.0,-24.15,2.0,4768.0,76.0,0.779,0
0.0,0,1,0,0,1.259,1.089,-0.178,0.0122,27.2,-4.27,1114.0,-118.09,1.0,6072.0,168.0,0.988,1
0.999,0,0,0,0,0.644,0.031,-0.045,0.0257,26.4,-0.8,713.0,-16.93,1.0,5386.0,159.0,0.793,0
1.0,0,0,0,0,0.045,0.319,-0.045,0.0321,44.5,-0.53,1038.0,-77.52,1.0,5815.0,157.0,0.877,0
0.876,0,0,0,0,0.926,0.0,-0.663,0.0901,16.4,-0.26,1121.0,-104.51,1.0,5653.0,154.0,0.949,0
1.0,0,0,0,0,0.823,0.001,-0.58,0.0529,21.2,-0.3,742.0,-20.23,1.0,5015.0,149.0,0.826,0
1.0,0,0,0,0,0.97,0.002,-0.663,0.305,26.7,-0.3,613.0,-9.47,2.0,5015.0,149.0,0.826,0
1.0,0,0,0,0,0.644,0.295,-0.438,0.111,30.0,-0.08,810.0,-14.45,3.0,5251.0,105.0,0.817,0
1.0,0,0,0,0,0.427,0.016,-0.427,0.0562,24.5,-0.22,562.0,-6.6,1.0,4702.0,128.0,0.686,0
