,Galaxy,RA,Dec,Type,BT,Ai,v,ɛ,classes,MainClass,SubClass,Class,ClassInt
390,NGC3268,10 27 46,-35 04.2,E 2,12.84,0.0,2801.0,110.0,E2,E,2,Elliptical,1
391,NGC3271,10 28 12,-35 06.2,S 1,12.85,0.86,3824.0,53.0,Sx,S,1,Spiral,0
392,NGC3274,10 29 30,27 55.6,S 4.0,13.15,0.26,542.0,10.0,Sx,S,4.0,Spiral,0
393,NGC3275,10 28 39,-36 29.0,SB R2 1.0,12.4,0.54,3241.0,100.0,SBx,SB,R2,Spiral,0
394,NGC3277,10 30 08,28 46.2,S R1 1.5,12.55,0.24,1417.0,15.0,Sx,S,R1,Spiral,0
395,NGC3281,10 29 36,-34 36.0,S 1,12.62,0.4,3549.0,55.0,Sx,S,1,Spiral,0
396,NGC3285,10 31 15,-27 11.8,S S2,-12.98,0.66,,,Sx,S,S2,Spiral,0
397,NGC3287,10 32 04,21 54.5,SB S6 3.0,-12.86,0.54,1307.0,15.0,SBx,SB,S6,Spiral,0
398,NGC3294,10 33 24,37 35.1,S S5 1.3,12.2,0.51,1571.0,21.0,Sx,S,S5,Spiral,0
399,NGC3300,10 33 58,14 25.8,LB1,13.29,0.0,2992.0,78.0,S0,LB1,irrelevant,Spiral,0
400,NGC3301,10 34 13,22 08.4,S 1,12.24,0.0,1333.0,75.0,Sx,S,1,Spiral,0
401,NGC3309,10 34 15,-27 15.8,E 1,12.81,0.0,4093.0,43.0,E1,E,1,Elliptical,1
402,NGC3310,10 35 39,53 45.9,S R4 P,11.2,0.36,992.0,4.0,Sx,S,R4,Spiral,0
403,NGC3312,10 34 42,-27 18.3,S R2,-12.73,0.93,2775.0,54.0,Sx,S,R2,Spiral,0
404,NGC3318,10 35 03,-41 22.1,SB T4 2.2,12.7,0.48,2609.0,95.0,SBx,SB,T4,Spiral,0
405,NGC3319,10 36 14,41 56.8,SB S5 2.4,11.78,0.49,758.0,5.0,SBx,SB,S5,Spiral,0
406,NGC3320,10 36 37,47 39.4,S S5 2.5,-12.93,0.52,2331.0,9.0,Sx,S,S5,Spiral,0
407,NGC3329,10 40 31,77 04.3,S 2,-12.99,0.71,1910.0,57.0,Sx,S,2,Spiral,0
408,NGC3338,10 39 29,14 00.6,S S4 1.5,11.32,0.43,1299.0,7.0,Sx,S,S4,Spiral,0
409,NGC3344,10 40 47,25 11.1,SB T4 1.0,10.48,0.3,698.0,4.0,SBx,SB,T4,Spiral,0
410,NGC3346,10 40 59,15 08.1,SB T5 2.2,-12.18,0.32,1260.0,11.0,SBx,SB,T5,Spiral,0
411,NGC3347,10 40 30,-36 05.3,SB R3 1.0,12.27,0.72,2923.0,63.0,SBx,SB,R3,Spiral,0
412,NGC3348,10 43 28,73 06.2,E 0,12.15,0.0,2855.0,75.0,E0,E,0,Elliptical,1
413,NGC3351,10 41 19,11 58.1,SB R3 2.0,10.52,0.64,779.0,4.0,SBx,SB,R3,Spiral,0
414,NGC3353,10 42 17,56 13.6,,13.2,,995.0,21.0,S0,nan,irrelevant,Irregular,2
415,NGC3358,10 41 16,-36 08.8,S R1 1.0,12.52,0.36,2910.0,212.0,Sx,S,R1,Spiral,0
416,NGC3359,10 43 21,63 29.2,SB S5 P 1.8,10.99,0.46,1008.0,4.0,SBx,SB,S5,Spiral,0
417,NGC3367,10 43 56,14 00.8,SB S5 2.0,12.05,0.31,3034.0,20.0,SBx,SB,S5,Spiral,0
418,NGC3368,10 44 08,12 05.1,S S2 2.0,10.11,0.62,895.0,8.0,Sx,S,S2,Spiral,0
419,NGC337,00 57 19,-07 50.7,S S5 P 2.2,12.08,0.4,1647.0,10.0,Sx,S,S5,Spiral,0
