,Galaxy,RA,Dec,Type,BT,Ai,v,ɛ,classes,MainClass,SubClass,Class,ClassInt
910,NGC5236,13 34 10,-29 36.8,SB S5 2.0,8.51,0.31,520.0,6.0,SBx,SB,S5,Spiral,0
911,NGC524,01 22 10,09 16.7,S 3 0,11.62,0.0,2377.0,46.0,Sx,S,3,Spiral,0
912,NGC5247,13 35 21,-17 38.1,S S5 1.5,11.1,0.33,1354.0,8.0,Sx,S,S5,Spiral,0
913,NGC5248,13 35 03,09 08.5,S S4 1.5,10.8,0.38,1154.0,5.0,Sx,S,S4,Spiral,0
914,NGC5253,13 37 05,-31 23.4,I 0,11.11,,395.0,3.0,I,I,0,Irregular,2
915,NGC5266,13 39 56,-47 55.0,L 55 P P,12.27,0.0,3110.0,73.0,S0,L,55,Irregular,2
916,NGC5273,13 39 55,35 54.5,S 0,12.42,0.0,1044.0,12.0,Sx,S,0,Spiral,0
917,NGC5297,13 44 19,44 07.4,S S5 2.0,12.23,0.8,2587.0,71.0,Sx,S,S5,Spiral,0
918,NGC5300,13 45 44,04 11.9,S S5 2.0,-11.93,0.42,1168.0,9.0,Sx,S,S5,Spiral,0
919,NGC5301,13 44 22,46 21.4,S S5,-12.66,0.82,1631.0,42.0,Sx,S,S5,Spiral,0
920,NGC5308,13 45 21,61 13.3,L 18,12.2,0.0,2038.0,35.0,S0,L,18,Irregular,2
921,NGC5313,13 47 37,40 14.0,S :,-13.15,0.46,2538.0,15.0,Sx,S,:,Spiral,0
922,NGC5322,13 47 35,60 26.4,E 4,10.91,0.0,1804.0,60.0,E4,E,4,Elliptical,1
923,NGC5324,13 49 30,-05 48.4,S R4 1.3,-12.43,0.29,3013.0,15.0,Sx,S,R4,Spiral,0
924,NGC5326,13 48 42,39 49.2,,12.94,,2554.0,55.0,Sx,nan,irrelevant,Irregular,2
925,NGC5328,13 50 03,-28 14.7,E 4,12.89,0.0,4816.0,125.0,E4,E,4,Elliptical,1
926,NGC533,01 22 56,01 30.3,E 3,12.75,0.0,5506.0,53.0,E3,E,3,Elliptical,1
927,NGC5334,13 50 20,-00 52.1,SB :,-11.9,0.48,1377.0,15.0,SBx,SB,:,Spiral,0
928,NGC5347,13 51 04,33 44.2,SB S3 1.5,-13.4,0.54,2373.0,12.0,SBx,SB,S3,Spiral,0
929,NGC5350,13 51 14,40 36.7,SB T4 1.5,12.2,0.36,2251.0,70.0,SBx,SB,T4,Spiral,0
930,NGC5351,13 51 19,38 09.5,SB T3 1.0,13.0,0.75,3621.0,11.0,SBx,SB,T3,Spiral,0
931,NGC5353,13 51 21,40 31.5,K 17 7,12.05,0.0,2171.0,48.0,S0,K,17,Irregular,2
932,NGC5357,13 53 06,-30 05.8,E 3,-13.2,0.0,5019.0,115.0,E3,E,3,Elliptical,1
933,NGC5362,13 52 48,41 33.7,S 3U R S 5U,-13.14,0.71,2262.0,143.0,Sx,S,3U,Spiral,0
934,NGC5363,13 53 37,05 30.0,L 55 V,11.06,0.0,1138.0,41.0,S0,L,55,Irregular,2
935,NGC5364,13 53 42,05 15.6,S R5 1.0,11.05,0.41,1252.0,20.0,Sx,S,R5,Spiral,0
936,NGC5365,13 54 45,-43 41.3,LB6,12.21,0.0,2472.0,45.0,S0,LB6,irrelevant,Spiral,0
937,NGC5371,13 53 33,40 42.4,SX T3 1.0,11.4,0.59,2561.0,9.0,Sx,SX,T3,Spiral,0
938,NGC5376,13 53 39,59 45.0,S S4 2.0,-13.0,0.44,2069.0,64.0,Sx,S,S4,Spiral,0
939,NGC5377,13 54 17,47 28.9,SB 1 R S 1,12.0,0.74,1796.0,10.0,SBx,SB,1,Spiral,0
940,NGC5380,13 54 49,37 51.1,L 10,-12.75,0.0,3017.0,70.0,S0,L,10,Irregular,2
941,NGC5383,13 55 01,42 05.6,SB S3 1.5,12.05,0.51,2260.0,3.0,SBx,SB,S3,Spiral,0
942,NGC5395,13 56 30,37 38.2,S 3 2.0,12.35,0.76,3542.0,30.0,Sx,S,3,Spiral,0
943,NGC5398,13 58 27,-32 49.3,SB S5 2.5,12.74,0.28,1225.0,14.0,SBx,SB,S5,Spiral,0
944,NGC5406,13 58 14,39 09.2,S S5 1.2,-12.96,0.38,5191.0,83.0,Sx,S,S5,Spiral,0
945,NGC5419,14 00 44,-33 44.5,L 12,-12.4,0.0,4254.0,82.0,S0,L,12,Irregular,2
946,NGC5422,13 58 57,55 24.3,S 1 R L 58,12.71,0.0,1837.0,43.0,S0,S,1,Spiral,0
947,NGC5426,14 00 48,-05 49.8,S T4 1.2,12.78,0.5,2609.0,8.0,Sx,S,T4,Spiral,0
948,NGC5427,14 00 49,-05 47.5,S S4 1.0,12.07,0.31,2719.0,20.0,Sx,S,S4,Spiral,0
949,NGC5430,13 59 09,59 34.1,SB R3 2.0,-12.78,0.68,2875.0,90.0,SBx,SB,R3,Spiral,0
950,NGC5444,14 01 13,35 22.5,E 3,-12.51,0.0,3974.0,41.0,E3,E,3,Elliptical,1
951,NGC5448,14 00 56,49 24.8,S S1,12.2,0.85,2023.0,10.0,Sx,S,S1,Spiral,0
952,NGC5457,14 01 28,54 35.6,S S5 1.0,8.18,0.29,251.0,2.0,Sx,S,S5,Spiral,0
953,NGC5464,14 04 11,-29 46.8,IB 9 3.0,-13.15,0.21,2686.0,38.0,I,IB,9,Spiral,0
954,NGC5468,14 03 58,-05 12.8,S S5 2.0,-12.24,0.29,2845.0,9.0,Sx,S,S5,Spiral,0
955,NGC5473,14 02 59,55 07.9,LB13,12.36,0.0,2023.0,42.0,S0,LB13,irrelevant,Spiral,0
956,NGC5474,14 03 15,53 54.0,S S6 P 4.0,11.31,0.3,275.0,2.0,Sx,S,S6,Spiral,0
957,NGC5480,14 04 31,50 57.7,S S5 3.0,-12.89,0.42,1856.0,18.0,Sx,S,S5,Spiral,0
958,NGC5483,14 07 17,-43 05.3,SB S4 2.0,12.09,0.31,1773.0,8.0,SBx,SB,S4,Spiral,0
959,NGC5485,14 05 27,55 14.2,L 52 P P,12.44,0.0,1985.0,50.0,S0,L,52,Irregular,2
960,NGC5493,14 08 53,-04 48.5,F 27 7,12.3,0.0,2627.0,75.0,E,F,27,Irregular,2
961,NGC5494,14 09 29,-30 24.8,S S5 1.5,12.71,0.32,2690.0,50.0,Sx,S,S5,Spiral,0
962,NGC5496,14 09 04,-00 55.4,S S5,-12.59,0.84,1527.0,20.0,Sx,S,S5,Spiral,0
963,NGC55,00 12 24,-39 28.0,S 5,8.22,0.87,129.0,3.0,Sx,S,5,Spiral,0
964,NGC5523,14 12 35,25 33.0,S S5 2.5,-12.47,0.71,1047.0,8.0,Sx,S,S5,Spiral,0
965,NGC5530,14 15 18,-43 09.7,S S5 2.8,-11.98,0.51,1196.0,15.0,Sx,S,S5,Spiral,0
966,NGC5533,14 14 00,35 34.5,S S3 1.0,-12.65,0.67,3862.0,10.0,Sx,S,S3,Spiral,0
967,NGC5534,14 15 01,-07 11.2,SB S4 M?2.0,-13.5,0.49,2633.0,10.0,SBx,SB,S4,Spiral,0
968,NGC5548,14 15 43,25 22.0,S 1,13.15,0.25,4970.0,29.0,Sx,S,1,Spiral,0
969,NGC5556,14 17 38,-29 01.1,SB Q5 2.5,-11.88,0.33,1384.0,10.0,SBx,SB,Q5,Spiral,0
970,NGC5557,14 16 20,36 43.4,E 2,12.01,0.0,3195.0,60.0,E2,E,2,Elliptical,1
971,NGC5566,14 17 49,04 09.7,SB R1 2.0,11.35,1.0,1569.0,24.0,SBx,SB,R1,Spiral,0
972,NGC5574,14 18 25,03 28.0,L 18,13.25,0.0,1716.0,50.0,S0,L,18,Irregular,2
973,NGC5576,14 18 33,03 29.9,E 4,11.76,0.0,1528.0,100.0,E4,E,4,Elliptical,1
974,NGC5584,14 19 50,-00 09.6,S S5 1.5,-11.95,0.38,1636.0,9.0,Sx,S,S5,Spiral,0
975,NGC5585,14 18 12,56 57.5,S S7 4.0,11.37,0.43,304.0,2.0,Sx,S,S7,Spiral,0
976,NGC5592,14 21 02,-28 27.9,S S4 1.5,-13.27,0.4,4408.0,45.0,Sx,S,S4,Spiral,0
977,NGC5595,14 21 27,-16 30.0,S S5 2.0,12.69,0.47,2681.0,40.0,Sx,S,S5,Spiral,0
978,NGC5597,14 21 42,-16 32.2,SB S5 2.0,12.6,0.33,2624.0,66.0,SBx,SB,S5,Spiral,0
979,NGC5600,14 21 26,14 51.8,S 3 P,13.2,0.44,2348.0,23.0,Sx,S,3,Spiral,0
980,NGC5605,14 22 25,-12 56.3,S S4 2.0,-13.15,0.35,3363.0,15.0,Sx,S,S4,Spiral,0
981,NGC5612,14 28 12,-78 09.8,S S3 2.0,13.14,0.96,2764.0,148.0,Sx,S,S3,Spiral,0
982,NGC5614,14 22 01,35 05.1,S S1 T,12.54,0.52,3872.0,75.0,Sx,S,S1,Spiral,0
983,NGC5631,14 25 00,56 48.,S 52 0,12.46,0.0,1979.0,60.0,Sx,S,52,Spiral,0
984,NGC5633,14 25 37,46 22.1,S S4 2.0,12.9,0.46,2341.0,41.0,Sx,S,S4,Spiral,0
985,NGC5638,14 27 09,03 27.3,E 1,12.2,0.0,1690.0,39.0,E1,E,1,Elliptical,1
986,NGC5641,14 27 05,29 02.6,SY 2 1.0,-12.9,0.74,4467.0,95.0,Sx,SY,2,Spiral,0
987,NGC5643,14 29 28,-43 57.2,SB S5 2.5,10.89,0.32,1194.0,10.0,SBx,SB,S5,Spiral,0
988,NGC5645,14 28 10,07 29.8,S 5 P 3.0,12.8,0.45,1455.0,222.0,Sx,S,5,Spiral,0
989,NGC5653,14 28 01,31 26.3,S S5 P 3.0,12.9,0.34,3557.0,118.0,Sx,S,S5,Spiral,0
990,NGC5660,14 28 04,49 50.8,S S5 1.8,12.3,0.31,2321.0,8.0,Sx,S,S5,Spiral,0
991,NGC5665,14 29 58,08 18.0,S S5 P 4.0,-12.79,0.41,2281.0,24.0,Sx,S,S5,Spiral,0
992,NGC5668,14 30 54,04 40.2,S S5 2.5,12.15,0.3,1581.0,6.0,Sx,S,S5,Spiral,0
993,NGC5669,14 30 17,10 06.6,SX R5 1.5,-12.0,0.38,1371.0,7.0,Sx,SX,R5,Spiral,0
994,NGC5676,14 31 02,49 40.8,S S5 2.0,11.68,0.53,2127.0,9.0,Sx,S,S5,Spiral,0
995,NGC5678,14 30 38,58 08.4,S S5 2.5,-12.08,0.53,2300.0,89.0,Sx,S,S5,Spiral,0
996,NGC5687,14 33 16,54 41.6,E 3,12.6,0.0,2119.0,75.0,E3,E,3,Elliptical,1
997,NGC5689,14 33 44,48 57.6,S 1,12.8,0.36,2163.0,22.0,E1,S,1,Spiral,0
998,NGC5690,14 35 09,02 30.4,S 5 2.0:,12.5,0.69,1750.0,15.0,Sx,S,5,Spiral,0
999,NGC5691,14 35 20,-00 10.9,SY 3 P 3.0,-12.95,0.55,1876.0,50.0,Sx,SY,3,Spiral,0
1000,NGC5701,14 36 41,05 34.8,USB 1,11.8,0.0,1506.0,4.0,SBx,USB,1,Spiral,0
1001,NGC5713,14 37 38,-00 04.5,S S4 P,12.0,0.32,1883.0,6.0,Sx,S,S4,Spiral,0
1002,NGC5728,14 39 37,-17 02.3,SB S3 2.0,12.1,0.75,2970.0,40.0,SBx,SB,S3,Spiral,0
1003,NGC5739,14 40 34,42 03.3,S S1,13.3,0.47,5608.0,118.0,Sx,S,S1,Spiral,0
1004,NGC5740,14 41 52,01 53.4,S R3 1.0,12.62,0.76,1585.0,9.0,Sx,S,R3,Spiral,0
1005,NGC5746,14 42 23,02 09.9,S S3,11.55,1.31,1731.0,10.0,Sx,S,S3,Spiral,0
1006,NGC5750,14 43 37,-00 00.8,SB S1,12.5,0.72,2023.0,173.0,SBx,SB,S1,Spiral,0
1007,NGC5756,14 44 48,-14 38.4,S S5 2.0,-13.23,0.54,2183.0,75.0,Sx,S,S5,Spiral,0
1008,NGC5757,14 44 57,-18 52.1,SB T3 2.0,-12.62,0.5,2771.0,58.0,SBx,SB,T3,Spiral,0
1009,NGC5768,14 49 33,-02 19.7,S S5 3.0,-12.94,0.37,2067.0,20.0,Sx,S,S5,Spiral,0
1010,NGC5775,14 51 27,03 44.8,S 5 O,12.24,0.76,1582.0,99.0,Sx,S,5,Spiral,0
1011,NGC578,01 28 05,-22 55.5,S S5 1.5,11.48,0.44,1632.0,10.0,Sx,S,S5,Spiral,0
1012,NGC5791,14 55 50,-19 03.9,L 14,12.86,0.0,3339.0,73.0,S0,L,14,Irregular,2
1013,NGC5792,14 55 48,-00 53.4,SB S3 1.3,-11.72,1.14,1985.0,68.0,SBx,SB,S3,Spiral,0
1014,NGC5796,14 56 36,-16 25.4,E 1 P,12.65,0.0,2946.0,30.0,E1,E,1,Elliptical,1
1015,NGC5806,14 57 28,02 05.4,S S3 2.8,12.3,0.51,1352.0,10.0,Sx,S,S3,Spiral,0
1016,NGC5812,14 58 17,-07 15.5,E 0,12.33,0.0,2066.0,50.0,E0,E,0,Elliptical,1
1017,NGC5813,14 58 39,01 53.9,E 1,11.61,0.0,1882.0,65.0,E1,E,1,Elliptical,1
1018,NGC5820,14 57 11,54 05.1,L 34,12.99,0.0,3269.0,60.0,S0,L,34,Irregular,2
1019,NGC5831,15 01 34,01 24.9,E 4,12.5,0.0,1684.0,50.0,E4,E,4,Elliptical,1
1020,NGC5838,15 02 54,02 17.6,L 35,11.76,0.0,1427.0,50.0,S0,L,35,Irregular,2
1021,NGC584,01 28 50,-07 07.6,L 1,11.2,0.0,1875.0,11.0,S0,L,1,Irregular,2
1022,NGC5846,15 03 56,01 47.8,L 10,11.17,0.0,1753.0,18.0,S0,L,10,Irregular,2
1023,NGC5850,15 04 35,01 44.2,SB Q3 1.5,11.71,0.47,2509.0,18.0,SBx,SB,Q3,Spiral,0
1024,NGC5854,15 05 16,02 45.6,S 1,12.64,0.0,1728.0,27.0,Sx,S,1,Spiral,0
1025,NGC5861,15 06 33,-11 07.9,S S5 2.0,12.31,0.48,1855.0,7.0,Sx,S,S5,Spiral,0
1026,NGC5864,15 07 02,03 14.6,SB 1,12.63,0.0,1618.0,66.0,SBx,SB,1,Spiral,0
1027,NGC5866,15 05 07,55 57.3,L 58,10.86,0.0,672.0,9.0,S0,L,58,Irregular,2
1028,NGC5878,15 11 00,-14 05.1,S S3 1.2,12.3,0.86,2111.0,65.0,Sx,S,S3,Spiral,0
1029,NGC5879,15 08 29,57 11.4,S S3 2.0,12.1,0.99,772.0,7.0,Sx,S,S3,Spiral,0
1030,NGC5885,15 12 22,-09 54.0,SB S5 2.0,12.2,0.32,1999.0,8.0,SBx,SB,S5,Spiral,0
1031,NGC5898,15 15 17,-23 55.0,L 40,12.56,0.0,2267.0,111.0,S0,L,40,Irregular,2
1032,NGC5899,15 13 14,42 14.0,S S5 2.0,12.6,0.59,2554.0,14.0,Sx,S,S5,Spiral,0
1033,NGC5903,15 15 40,-23 53.1,F 13 3,12.5,0.0,2547.0,97.0,E,F,13,Irregular,2
1034,NGC5905,15 14 02,55 42.1,SB T3 1.0,-12.33,0.56,3389.0,14.0,SBx,SB,T3,Spiral,0
1035,NGC5907,15 14 37,56 30.4,S 5 O,11.15,0.87,621.0,19.0,Sx,S,5,Spiral,0
1036,NGC5908,15 15 24,55 35.4,S 3 O,12.9,0.98,3312.0,15.0,Sx,S,3,Spiral,0
1037,NGC5915,15 18 48,-12 54.9,SB S4 P,-12.89,0.39,2273.0,14.0,SBx,SB,S4,Spiral,0
1038,NGC5921,15 19 28,05 14.9,SB S4 1.5,11.53,0.34,1480.0,10.0,SBx,SB,S4,Spiral,0
1039,NGC5936,15 27 39,13 09.6,S R5 1.5,13.0,0.3,4007.0,60.0,Sx,S,R5,Spiral,0
1040,NGC5949,15 27 19,64 56.0,S 5,-12.94,0.54,435.0,10.0,Sx,S,5,Spiral,0
1041,NGC596,01 30 22,-07 17.3,E 0,11.88,0.0,1902.0,15.0,E0,E,0,Elliptical,1
1042,NGC5962,15 34 14,16 46.4,S R5 2.3,12.1,0.4,1963.0,10.0,Sx,S,R5,Spiral,0
1043,NGC5967,15 42 10,-75 31.2,S T5 2.2,12.76,0.46,2904.0,90.0,Sx,S,T5,Spiral,0
1044,NGC5970,15 36 08,12 21.0,SB R4 2.0,12.15,0.41,2056.0,26.0,SBx,SB,R4,Spiral,0
1045,NGC598,01 31 03,30 23.9,S S5 2.5,6.26,0.45,-180.0,0.0,Sx,S,S5,Spiral,0
1046,NGC5982,15 37 38,59 31.1,E 3,12.08,0.0,2869.0,10.0,E3,E,3,Elliptical,1
1047,NGC5984,15 40 34,14 23.4,SB 6 3.0:,-12.94,0.73,1118.0,9.0,SBx,SB,6,Spiral,0
1048,NGC5985,15 38 36,59 29.6,SB R3 1.0,11.8,0.74,2517.0,7.0,SBx,SB,R3,Spiral,0
1049,NGC6015,15 50 39,62 27.5,S S5 2.5,11.73,0.61,828.0,5.0,Sx,S,S5,Spiral,0
1050,NGC6052,16 03 01,20 40.5,S P,13.45,0.19,4729.0,16.0,Sx,S,P,Spiral,0
1051,NGC6070,16 07 26,00 50.4,S S5 1.0,12.35,0.49,2012.0,7.0,Sx,S,S5,Spiral,0
1052,NGC6106,16 16 22,07 32.0,S T5 2.3,12.8,0.48,1456.0,10.0,Sx,S,T5,Spiral,0
1053,NGC6118,16 19 13,-02 10.1,S S5 1.3,-11.91,0.55,1571.0,9.0,Sx,S,S5,Spiral,0
1054,NGC613,01 31 59,-29 40.3,SB T3 2.0,10.75,0.56,1526.0,18.0,SBx,SB,T3,Spiral,0
1055,NGC615,01 32 35,-07 35.8,S R3 1.5,12.3,0.91,1858.0,9.0,Sx,S,R3,Spiral,0
1056,NGC6181,16 30 10,19 55.9,S S5 2.0,12.5,0.54,2372.0,8.0,Sx,S,S5,Spiral,0
1057,NGC6207,16 41 18,36 55.7,S S5 3.0,12.15,0.57,846.0,7.0,Sx,S,S5,Spiral,0
1058,NGC6215,16 46 48,-58 54.3,S S5 2.0,11.89,0.37,1563.0,15.0,Sx,S,S5,Spiral,0
1059,NGC6217,16 35 03,78 18.0,SB S4 2.0,11.86,0.34,1365.0,5.0,SBx,SB,S4,Spiral,0
1060,NGC6221,16 48 25,-59 08.0,S S4 2.5,11.52,0.39,1478.0,15.0,Sx,S,S4,Spiral,0
1061,NGC6239,16 48 31,42 49.4,SB 5 P 3.0,12.8,0.55,938.0,12.0,SBx,SB,5,Spiral,0
1062,NGC625,01 32 55,-41 41.4,I 0 R I 9 3.0,-12.21,0.3,403.0,8.0,I,I,0,Irregular,2
1063,NGC628,01 34 01,15 31.6,S S5 1.0,9.77,0.31,656.0,2.0,Sx,S,S5,Spiral,0
1064,NGC6300,17 12 18,-62 45.8,SB S3 P 2.0,11.04,0.67,1107.0,14.0,SBx,SB,S3,Spiral,0
1065,NGC6340,17 11 16,72 21.9,S R1 1.0,11.9,0.5,1234.0,11.0,Sx,S,R1,Spiral,0
1066,NGC636,01 36 36,-07 45.9,E 1,12.25,0.0,1868.0,22.0,E1,E,1,Elliptical,1
1067,NGC6384,17 29 59,07 05.8,S R3 1.0,11.29,0.63,1673.0,9.0,Sx,S,R3,Spiral,0
1068,NGC6412,17 31 22,75 44.3,SX S5 1.5,12.32,0.32,1326.0,6.0,Sx,SX,S5,Spiral,0
1069,NGC6482,17 49 44,23 05.0,E 2,12.1,0.0,3922.0,60.0,E2,E,2,Elliptical,1
1070,NGC6503,17 49 58,70 09.5,S S5 2.8,10.93,0.65,60.0,7.0,Sx,S,S5,Spiral,0
1071,NGC6574,18 09 35,14 58.2,S S4 2.3,12.85,0.37,2290.0,16.0,Sx,S,S4,Spiral,0
1072,NGC6643,18 21 14,74 32.7,S S5 2.0,11.74,0.52,1491.0,5.0,Sx,S,S5,Spiral,0
1073,NGC6684,18 44 02,-65 13.8,SB S1,11.34,0.31,886.0,54.0,SBx,SB,S1,Spiral,0
1074,NGC6699,18 47 48,-57 22.7,S S4 1.2,12.73,0.3,3509.0,21.0,Sx,S,S4,Spiral,0
1075,NGC670,01 44 37,27 38.1,S 3 :,13.17,0.87,3788.0,45.0,Sx,S,3,Spiral,0
1076,NGC672,01 45 05,27 11.1,SB S5 3.0,11.41,0.62,413.0,6.0,SBx,SB,S5,Spiral,0
1077,NGC6721,18 56 34,-57 49.6,E 1,13.12,0.0,4467.0,78.0,E1,E,1,Elliptical,1
1078,NGC6744,19 05 02,-63 56.3,S R4 2.0,9.24,0.44,833.0,15.0,Sx,S,R4,Spiral,0
1079,NGC6753,19 07 13,-57 07.7,S R3 1.0,11.93,0.5,3145.0,65.0,Sx,S,R3,Spiral,0
1080,NGC6754,19 07 34,-50 43.4,S S4 2.5,-13.16,0.54,3325.0,24.0,Sx,S,S4,Spiral,0
1081,NGC6758,19 09 44,-56 23.7,E 2,12.61,0.0,3367.0,108.0,E2,E,2,Elliptical,1
1082,NGC6769,19 13 57,-60 36.2,S R3 2.0,12.58,0.64,3858.0,81.0,Sx,S,R3,Spiral,0
1083,NGC6776,19 20 43,-63 57.9,E 1 P M?,12.91,0.0,5488.0,78.0,E1,E,1,Elliptical,1
1084,NGC6780,19 18 46,-55 52.4,S T4 1.5,-13.15,0.35,3516.0,80.0,Sx,S,T4,Spiral,0
1085,NGC6782,19 19 38,-60 01.1,SB S2,12.71,0.74,3903.0,78.0,SBx,SB,S2,Spiral,0
1086,NGC6808,19 38 30,-70 45.2,S S5 2.0,13.39,0.61,3466.0,47.0,Sx,S,S5,Spiral,0
1087,NGC681,01 46 43,-10 40.5,S 2,12.71,0.68,1745.0,9.0,Sx,S,2,Spiral,0
1088,NGC6810,19 39 21,-58 46.5,S 3,12.21,1.12,1975.0,87.0,Sx,S,3,Spiral,0
1089,NGC6814,19 39 55,-10 26.6,S T4 1.5,12.02,0.3,1560.0,9.0,Sx,S,T4,Spiral,0
1090,NGC6822,19 42 07,-14 55.7,I 9 4.5,9.35,0.16,-49.0,5.0,I,I,9,Irregular,2
1091,NGC6835,19 51 47,-12 42.0,I 0,13.13,,1631.0,14.0,I,I,0,Irregular,2
1092,NGC685,01 45 49,-53 00.6,SB R5 2.0,-11.97,0.29,1415.0,78.0,SBx,SB,R5,Spiral,0
1093,NGC6851,19 59 55,-48 25.0,E 4,12.61,0.0,3020.0,23.0,E4,E,4,Elliptical,1
1094,NGC6854,20 01 46,-54 31.0,E 1 + E 0,13.27,0.0,5692.0,78.0,S0,E,1,Elliptical,1
1095,NGC6861,20 03 42,-48 30.8,L 56,12.07,0.0,2859.0,80.0,S0,L,56,Irregular,2
1096,NGC6868,20 06 19,-48 31.4,F 43 3,11.83,0.0,2764.0,39.0,E,F,43,Irregular,2
1097,NGC6875,20 09 41,-46 18.5,S 0 M,12.77,0.0,3103.0,48.0,Sx,S,0,Spiral,0
1098,NGC6876,20 13 05,-71 01.0,E 3,12.56,0.0,3971.0,148.0,E3,E,3,Elliptical,1
1099,NGC6878,20 10 25,-44 40.4,S R5 1.3,14.07,0.38,5856.0,29.0,Sx,S,R5,Spiral,0
1100,NGC6887,20 13 30,-52 57.1,S S2 1.5,12.46,0.93,3041.0,107.0,Sx,S,S2,Spiral,0
1101,NGC6890,20 14 50,-44 57.4,S S2 2.5,13.02,0.56,2466.0,65.0,Sx,S,S2,Spiral,0
1102,NGC6893,20 17 14,-48 23.7,L 54,12.54,0.0,3175.0,95.0,S0,L,54,Irregular,2
1103,NGC6902,20 21 04,-43 49.0,S R1,12.65,0.28,2781.0,11.0,Sx,S,R1,Spiral,0
1104,NGC6907,20 22 07,-24 58.3,SB S4 2.0,12.0,0.33,3155.0,80.0,SBx,SB,S4,Spiral,0
1105,NGC6909,20 24 09,-47 11.6,E 5,12.78,0.0,2680.0,200.0,E5,E,5,Elliptical,1
1106,NGC6923,20 28 34,-31 00.1,SB S4 2.0,12.85,0.5,2948.0,34.0,SBx,SB,S4,Spiral,0
1107,NGC6925,20 31 14,-32 09.2,S R4 1.0,12.1,0.64,2775.0,11.0,Sx,S,R4,Spiral,0
1108,NGC6935,20 34 41,-52 17.2,S R1,13.01,0.51,4794.0,200.0,Sx,S,R1,Spiral,0
1109,NGC6942,20 36 53,-54 28.8,SB S1,13.1,0.0,3964.0,250.0,SBx,SB,S1,Spiral,0
1110,NGC6943,20 39 52,-68 55.6,S T4 1.0,12.16,0.54,3114.0,248.0,Sx,S,T4,Spiral,0
1111,NGC6946,20 33 48,59 59.0,S S5 2.0,9.68,0.32,48.0,2.0,Sx,S,S5,Spiral,0
1112,NGC6951,20 36 37,65 55.9,SX T3 1.3,12.2,0.51,1425.0,10.0,Sx,SX,T3,Spiral,0
1113,NGC6958,20 45 30,-38 10.9,?L 1 3,12.21,0.0,2757.0,175.0,S0,?L,1,Irregular,2
1114,NGC6970,20 48 40,-48 57.8,S S5 2.0,13.27,0.32,5280.0,42.0,Sx,S,S5,Spiral,0
1115,NGC6984,20 54 19,-52 03.8,SB R4 1.8,13.33,0.42,4522.0,113.0,SBx,SB,R4,Spiral,0
1116,NGC7007,21 01 53,-52 45.1,S 3 0 U,12.99,0.0,2954.0,60.0,Sx,S,3,Spiral,0
1117,NGC701,01 48 36,-09 57.1,S S5 3.0,12.9,0.53,1829.0,8.0,Sx,S,S5,Spiral,0
1118,NGC7014,21 04 29,-47 22.8,E 5,13.34,0.0,4790.0,63.0,E5,E,5,Elliptical,1
1119,NGC7020,21 07 16,-64 14.0,S 35 0,12.49,0.0,3029.0,160.0,Sx,S,35,Spiral,0
1120,NGC7029,21 08 27,-49 29.6,L 15,12.59,0.0,2863.0,75.0,S0,L,15,Irregular,2
1121,NGC7038,21 11 48,-47 25.4,S S4 1.8,-12.36,0.46,4844.0,168.0,Sx,S,S4,Spiral,0
1122,NGC7041,21 13 09,-48 34.2,K 17 7,12.05,0.0,1920.0,90.0,S0,K,17,Irregular,2
1123,NGC7049,21 15 38,-48 46.4,S 54 0,11.64,0.0,2193.0,92.0,Sx,S,54,Spiral,0
1124,NGC7059,21 23 34,-60 14.0,S S5 2.0,12.92,0.5,1781.0,76.0,Sx,S,S5,Spiral,0
1125,NGC7064,21 25 34,-52 59.0,S 6 O,13.08,0.87,807.0,24.0,Sx,S,6,Spiral,0
1126,NGC7070,21 27 13,-43 18.4,SB S5 2.8,12.86,0.33,2400.0,50.0,SBx,SB,S5,Spiral,0
1127,NGC7079,21 29 22,-44 17.3,SB 1,12.54,0.0,2819.0,124.0,SBx,SB,1,Spiral,0
1128,NGC7083,21 31 52,-64 07.6,S S3 1.5,11.8,0.69,3089.0,125.0,Sx,S,S3,Spiral,0
1129,NGC7090,21 32 59,-54 46.9,SB 5 : O,11.1,0.87,846.0,15.0,SBx,SB,5,Spiral,0
1130,NGC7096,21 37 28,-64 08.2,S R1 1.0,12.59,0.0,2958.0,35.0,Sx,S,R1,Spiral,0
1131,NGC7097,21 37 04,-42 46.1,E 4,12.52,0.0,2404.0,80.0,E4,E,4,Elliptical,1
1132,NGC7107,21 39 15,-45 01.3,SB S5 R SB 9 3.5,-12.93,0.24,2487.0,144.0,SBx,SB,S5,Spiral,0
1133,NGC7119,21 43 03,-46 44.8,S S5 2.0,-13.82,0.52,9875.0,49.0,Sx,S,S5,Spiral,0
1134,NGC7124,21 44 48,-50 48.0,S 4 1.0,13.1,0.58,5027.0,153.0,Sx,S,4,Spiral,0
1135,NGC7125,21 45 38,-60 56.8,S T5 1.0,12.89,0.43,3031.0,50.0,Sx,S,T5,Spiral,0
1136,NGC7126,21 45 41,-60 50.4,S R1 :,13.1,0.84,3009.0,65.0,Sx,S,R1,Spiral,0
1137,NGC7135,21 46 48,-35 07.,L 1 P,12.61,0.0,4877.0,46.0,S0,L,1,Irregular,2
1138,NGC7137,21 45 54,21 55.6,S T5 2.8,13.05,0.31,1690.0,4.0,Sx,S,T5,Spiral,0
